Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",0603,3,100nF,
"C2, C4, C6",0805,3,1uF,
"D1, D2, D3, D4",RCLAMP3346PQTNT,4,RCLAMP3346P.TNT,
F1,1206,1,Polyfuse 100mA,
"H1, H2",MountingHole_3.2mm_M3_DIN965,2,MountingHole,
J1,IDC-Header_2x13_P2.54mm_Latch_Horizontal,1,IDC-Header_2x13,
J2,PinHeader_2x13_P2.54mm_Vertical,1,Header 2x13,
"RN1, RN2, RN3, RN4, RN5, RN6",R_Array_Convex_4x0603,6,4x10R,
"U1, U2, U3",TSSOP-20_4.4x6.5mm_P0.65mm,3,74LVC541AP,
