Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J11, J13, J15, J17, J19, J3, J5, J7, J9",CT2908-1,10,Banana socket,
"J10, J12, J14, J16, J18, J2, J20, J4, J6, J8",CT2908-0,10,Banana socket,
J21,IDC-Header_2x13_P2.54mm_Latch_Horizontal,1,IDC-Header_2x13,
J22,PinSocket_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
"J23, J24","PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",2,Conn_01x02_Pin,
"R1, R14",R_Shunt_Ohmite_LVK12_ALT2,2,0.05,
"R10, R11, R12, R13, R15, R16, R17, R18, R19, R2, R20, R21, R22, R23, R24, R26, R27, R28, R29, R3, R30, R31, R32, R33, R34, R35, R36, R37, R39, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R5, R6, R7, R8, R9",0603,44,330R,
"U1, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U3, U30, U31, U32, U33, U34, U35, U36, U37, U38, U39, U4, U40, U41, U42, U43, U44, U5, U6, U7, U8, U9",DIP-4_W7.62mm,44,TLP3558A,
